OBJECTID,CD_GEOCODM,SHAPE_LENG,ANO_BASE,ID_ESTADO,NOME,ID_MUNICIP,OBJECTID_12,AA_REF,AA_MALHA,PAI_CD,MUN_CD,MUN_CD_FINAL,MUN_NM,MUN_NM_FINAL,MUN_NM_UF_FINAL,EST_NM,EST_NM_FINAL,EST_SIGLA_FINAL,RGE_NM,RGE_NM_FINAL,RETIRADA_HU_M3_S,CONSUMO_HU_M3_S,RETORNO_HU_M3_S,RETIRADA_HR_M3_S,CONSUMO_HR_M3_S,RETORNO_HR_M3_S,RETIRADA_IT_M3_S,CONSUMO_IT_M3_S,RETORNO_IT_M3_S,RETIRADA_MN_M3_S,CONSUMO_MN_M3_S,RETORNO_MN_M3_S,RETIRADA_TE_M3_S,CONSUMO_TE_M3_S,RETORNO_TE_M3_S,RETIRADA_AN_M3_S,CONSUMO_AN_M3_S,RETORNO_AN_M3_S,RETIRADA_IR_M3_S,CONSUMO_IR_M3_S,RETORNO_IR_M3_S,RETIRADA_TOTAL_M3_S,CONSUMO_TOTAL_M3_S,RETORNO_TOTAL_M3_S,SHAPEAREA,SHAPELEN
3377,3304300,1.12835664,2013,33,Rio Bonito,3304300,3239,2030,2013,BR,3304300,3304300,Rio Bonito,Rio Bonito,RJ - Rio Bonito,Rio de Janeiro,Rio de Janeiro,RJ,REGIÃƒO SUDESTE,REGIÃO SUDESTE,0.14123698,0.0282474,0.11298958,0.01481192,0.01184954,0.00296238,0.02950395,0.01058463,0.01891932,0.00046011,0.00021009,0.00025002,0,0,0,0.03241239,0.02581017,0.00660222,0.00147001,0.000882,0.000588,0.21989535,0.07758383,0.14231152,0,0
3378,3304409,1.7708162,2013,33,Rio Claro,3304409,3240,2030,2013,BR,3304409,3304409,Rio Claro,Rio Claro,RJ - Rio Claro,Rio de Janeiro,Rio de Janeiro,RJ,REGIÃƒO SUDESTE,REGIÃO SUDESTE,0.0458516,0.00917032,0.03668128,0.00269242,0.00215394,0.00053848,0.00260708,0.00105384,0.00155324,0.00025437,0.00011615,0.00013822,0,0,0,0.07073126,0.05171834,0.01901291,0.01589236,0.00957754,0.00631481,0.13802908,0.07379013,0.06423894,0,0
3379,3304508,1.17268078,2013,33,Rio das Flores,3304508,3241,2030,2013,BR,3304508,3304508,Rio das Flores,Rio das Flores,RJ - Rio das Flores,Rio de Janeiro,Rio de Janeiro,RJ,REGIÃƒO SUDESTE,REGIÃO SUDESTE,0.0189848,0.00379696,0.01518784,0.00436777,0.00349421,0.00087355,0.01480316,0.00289607,0.01190708,4.02e-06,1.83e-06,2.18e-06,0,0,0,0.03810388,0.02725576,0.01084813,0.00193315,0.00115989,0.00077326,0.07819677,0.03860472,0.03959205,0,0
3380,3304524,0.84197527,2013,33,Rio das Ostras,3304524,3242,2030,2013,BR,3304524,3304524,Rio das Ostras,Rio das Ostras,RJ - Rio das Ostras,Rio de Janeiro,Rio de Janeiro,RJ,REGIÃƒO SUDESTE,REGIÃO SUDESTE,0.40907522,0.08181504,0.32726017,0.01523727,0.01218981,0.00304745,0.02193137,0.01006607,0.01186529,0,0,0,0,0,0,0.01885804,0.01498754,0.0038705,0.01326505,0.00795903,0.00530602,0.47836694,0.1270175,0.35134943,0,0
3381,3304557,3.3822764,2013,33,Rio de Janeiro,3304557,3243,2030,2013,BR,3304557,3304557,Rio de Janeiro,Rio de Janeiro,RJ - Rio de Janeiro,Rio de Janeiro,Rio de Janeiro,RJ,REGIÃƒO SUDESTE,REGIÃO SUDESTE,25.27419728,5.05483946,20.21935783,0,0,0,10.39376502,2.43922887,7.95453615,0.00969687,0.00442771,0.00526917,11.68130275,0.12721936,11.55408339,0.00827515,0.00640869,0.00186646,0.205606,0.12359468,0.08201133,47.57284308,7.75571876,39.81712432,0,0
3382,3304607,1.70248877,2013,33,Santa Maria Madalena,3304607,3244,2030,2013,BR,3304607,3304607,Santa Maria Madalena,Santa Maria Madalena,RJ - Santa Maria Madalena,Rio de Janeiro,Rio de Janeiro,RJ,REGIÃƒO SUDESTE,REGIÃO SUDESTE,0.04243121,0.00848624,0.03394496,0.00432292,0.00345833,0.00086458,0.00105028,0.00021351,0.00083677,0.00019972,9.12e-05,0.00010853,0,0,0,0.05338632,0.04099208,0.01239424,0.00301175,0.00278888,0.00022287,0.10440219,0.05603024,0.04837195,0,0
3383,3304706,1.5250624,2013,33,Santo Antônio de Pádua,3304706,3245,2030,2013,BR,3304706,3304706,Santo AntÃ´nio de PÃ¡dua,Santo Antônio de Pádua,RJ - Santo Antônio de Pádua,Rio de Janeiro,Rio de Janeiro,RJ,REGIÃƒO SUDESTE,REGIÃO SUDESTE,0.11837977,0.02367595,0.09470382,0.01386285,0.01109028,0.00277257,0.19066234,0.03658111,0.15408123,0.00073731,0.00033667,0.00040065,0,0,0,0.05177757,0.03813593,0.01364164,0.04195728,0.02613615,0.01582113,0.41737712,0.13595609,0.28142103,0,0
3384,3304755,2.00523827,2013,33,São Francisco de Itabapoana,3304755,3246,2030,2013,BR,3304755,3304755,SÃ£o Francisco de Itabapoana,São Francisco de Itabapoana,RJ - São Francisco de Itabapoana,Rio de Janeiro,Rio de Janeiro,RJ,REGIÃƒO SUDESTE,REGIÃO SUDESTE,0.12283712,0.02456742,0.0982697,0.02283131,0.01826505,0.00456626,0.00448046,0.00122163,0.00325883,0.0016645,0.00076003,0.00090447,0,0,0,0.1035393,0.06827784,0.03526146,0.00797953,0.00722934,0.00075019,0.26333223,0.12032132,0.14301091,0,0
3385,3304805,1.57797737,2013,33,São Fidélis,3304805,3247,2030,2013,BR,3304805,3304805,SÃ£o FidÃ©lis,São Fidélis,RJ - São Fidélis,Rio de Janeiro,Rio de Janeiro,RJ,REGIÃƒO SUDESTE,REGIÃO SUDESTE,0.16242145,0.03248429,0.12993716,0.00570891,0.00456713,0.00114178,0.00151433,0.00039883,0.0011155,0.00046486,0.00021226,0.0002526,0,0,0,0.09870855,0.07097352,0.02773503,0.01782602,0.01082776,0.00699826,0.28664412,0.11946378,0.16718034,0,0
3386,3304904,0.80717458,2013,33,São Gonçalo,3304904,3248,2030,2013,BR,3304904,3304904,SÃ£o GonÃ§alo,São Gonçalo,RJ - São Gonçalo,Rio de Janeiro,Rio de Janeiro,RJ,REGIÃƒO SUDESTE,REGIÃO SUDESTE,3.88017729,0.77603546,3.10414184,0.00117332,0.00093866,0.00023466,0.25031632,0.07764687,0.17266945,0.0008637,0.00039437,0.00046932,0,0,0,0.00493636,0.00392304,0.00101332,1.429e-05,1.324e-05,1.06e-06,4.13748129,0.85895164,3.27852965,0,0
